SiteName,MasterID,CategoryName,CategoryID
yahoo,y0000,布団・寝具,3669
yahoo,y0001,枕・ピロー,27821
yahoo,y0002,布団セット,27772
yahoo,y0003,マットレス,48015
yahoo,y0004,敷きパッド,48023
yahoo,y0005,敷き布団,27756
yahoo,y0006,掛け布団,27760
yahoo,y0007,布団カバー,3670
yahoo,y0008,毛布,27787
yahoo,y0009,タオルケット,3677
yahoo,y0010,ドレープカーテン,48042
yahoo,y0011,レースカーテン,48043
yahoo,y0012,カーペット・ラグ,48064
amazon,a0000,寝具,2378086051
amazon,a0001,枕・抱き枕,2378233051
amazon,a0002,布団セット,2378232051
amazon,a0003,マットレス,2378230051
amazon,a0004,ベットパッド・敷きパッド,2378229051
amazon,a0005,敷きふとん,2378225051
amazon,a0006,掛けふとん,2378224051
amazon,a0007,寝具カバー・シーツ,2378231051
amazon,a0008,毛布,2378226051
amazon,a0009,タオルケット・ガーゼケット,2378228051
amazon,a0010,キッズ・ジュニア用寝具,2378425051
amazon,a0011,カーテン,268254011
amazon,a0012,レースカーテン,268258011
amazon,a0013,ラグ・カーペット,268233011
amazon,a0014,クッション・クッションカバー,268273011
rakuten,r0000,寝具,215566
rakuten,r0001,枕・抱き枕,564567
rakuten,r0002,掛け敷き布団セット,215613
rakuten,r0003,マットレス,508183
rakuten,r0004,敷きパッド・パッドシーツ,551221
rakuten,r0005,敷き布団,205555
rakuten,r0006,掛け布団,563689
rakuten,r0007,布団カバー,205604
rakuten,r0008,毛布,205611
rakuten,r0009,タオルケット,205613
rakuten,r0010,ドレープカーテン,300576
rakuten,r0011,レースカーテン,300667
rakuten,r0012,ラグ,551228
